waferid,y1,y2,u1,u2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
w1,6.894516573216567,2.5090408841585505,3.177153684487137,1.5431433801480596,1.0617097257120838,0.9231201487666278,4.825418241247572,1.039368215483245,1.9705690007233727,3.0856870192502734,2.018333648849937,2.953824964479643,1.1872561268497115,2.1087429088977223
w2,8.870760041015245,2.4708295816665813,4.474348462269762,1.5642683884034119,1.477085146081291,1.291545384515528,6.85555796602974,1.0315511154016268,1.979746867221503,3.0790552574626107,1.9988366862313889,2.831021538250238,1.1284026102772953,2.002702677053009
w3,11.46501057216517,2.4935709263530628,3.1443228960342995,1.4095661482051296,1.0433470416933337,2.4713298733821425,9.474745029591896,0.9402620345125793,1.9890017704429592,3.017570066734894,1.842391341013069,2.93474539405917,1.1641353487065471,2.0189584588892524
w4,12.098559041035466,2.524125822334844,3.4405434059552,1.360408252492997,1.1437312188705477,2.579841363238259,10.06031323785937,0.9447273954770586,1.9560731134707867,3.0288632140637755,2.0599060385282097,3.0495286297283726,0.7904821271327883,2.204984710111597
w5,7.817929432819421,2.5390062751666465,2.149819726396926,1.5094420505481185,0.7129613108207011,1.519676616616748,5.908504549028902,0.996961811745749,1.9516156018502326,3.045800909987682,1.8487781234696536,3.0008958224025144,1.8318117520846284,1.8615740968283248
w6,13.795725850274973,2.5156408322704,7.696928357881512,1.4671520313882354,2.5518465485851287,2.2527697546172654,11.84728216988148,0.9865928948991666,1.9649747687676142,3.0478339248234287,2.133806133133468,3.1893682071188616,1.410849603738615,1.7341440847354614
w7,13.567320018752579,2.5076803646092003,6.505540000736216,1.5542213568683922,2.1696991166997566,2.4313975098554055,11.645716886629135,1.028253094713317,1.9990038754198092,3.002648229698869,2.0152887770193075,3.1362040806553133,1.5104902369020994,2.049031859814818
w8,12.85905112802647,2.4551491446389817,3.1546432051173454,1.4809603606193558,1.055082621161084,2.8862443466295797,10.770802149941415,1.0142956375874959,2.0091607556279163,3.027021437170357,1.7990495729329596,2.9833803016514153,1.3257241523352121,1.933715915409688
w9,17.83532021493688,2.5359590954928546,3.231198905767787,1.3984317979613288,1.0451702131838931,4.626266744737822,15.945057032532977,1.0118306939825057,1.922126278721405,3.121777160310084,2.144270062171787,2.999334189335529,0.6781180459534942,2.0119343340562312
w10,10.318778416290684,2.3978185384819644,1.4563079988879073,1.330283647095577,0.5069027971182296,2.401207412907794,8.262203847182944,0.9148962100130346,1.9895921221590023,2.969830028449813,2.0180970168905388,3.1032984986331638,1.1921746750708981,1.9794229544265782
